wallet,moca_id,moca_xp
0x98e21d5cff3d839ead33f0b9c25e63ca1f4ff34d,1081,16
0x98e21d5cff3d839ead33f0b9c25e63ca1f4ff34d,3632,16
0x543e2106806e08c8b34d96aaad6b56392a4ac681,1197,16
0x27c5deca8324cc6e9332db95defa1a951f29452a,3370,16
0xe672334b5d755b95a9ac306dd9da84ec76909e0d,3559,16
0xfa04e6aa48cc3888d40a3152ff479c76d2b7c7ec,3369,16
0xad990b2d8f63cef4de48d9b685c3a712b621be3e,1762,16
0xc886db8b8cd260f5ee38ba3d8f8e9324ee27ea33,1046,16
0xc886db8b8cd260f5ee38ba3d8f8e9324ee27ea33,1709,16
0xc886db8b8cd260f5ee38ba3d8f8e9324ee27ea33,1808,16
0xc886db8b8cd260f5ee38ba3d8f8e9324ee27ea33,2656,16
0xc886db8b8cd260f5ee38ba3d8f8e9324ee27ea33,4635,16
0xc886db8b8cd260f5ee38ba3d8f8e9324ee27ea33,5923,16
0x2f3cceb1bdf9faf0d79499a3d2c0cdfc806ffa80,1217,16
0x2f3cceb1bdf9faf0d79499a3d2c0cdfc806ffa80,1218,16
0x9bc6a425d0d5fea6005400052ee679b30b1e2dee,1356,16
0xc74c6a964dc87eff0c8aedf890ab6fbf22db5141,5985,16
0xcc2c8d8f1866fc01e2d04cf69d5aa4bb15d3a7cf,1466,16
0xcc2c8d8f1866fc01e2d04cf69d5aa4bb15d3a7cf,2222,16
0xcc2c8d8f1866fc01e2d04cf69d5aa4bb15d3a7cf,2224,16
0xcc2c8d8f1866fc01e2d04cf69d5aa4bb15d3a7cf,2227,16
0xcc2c8d8f1866fc01e2d04cf69d5aa4bb15d3a7cf,2228,16
0xcc2c8d8f1866fc01e2d04cf69d5aa4bb15d3a7cf,2229,16
0xcc2c8d8f1866fc01e2d04cf69d5aa4bb15d3a7cf,2234,16
0xcc2c8d8f1866fc01e2d04cf69d5aa4bb15d3a7cf,2763,16
0xcc2c8d8f1866fc01e2d04cf69d5aa4bb15d3a7cf,3293,16
0xcc2c8d8f1866fc01e2d04cf69d5aa4bb15d3a7cf,4840,16
0x654b83e33d22706f89f465818442b05f0b637c02,1887,16
0x1579d939f6870a6fdc442aa7abd2dc2bee74a77c,5194,16
0x9415098fc6684f2ef80730419ec54999c5c84825,2695,16
